concept,period,cik,val,end
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,12208,2671200000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,12659,3472185000.0,2023-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,14177,251636000.0,2023-11-03
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,14693,4178000000.0,2024-04-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,16058,6702546000.0,2023-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,16160,2326443000.0,2024-06-01
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,17843,2550300000.0,2023-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,19584,1315065000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,20520,5676000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,21665,19457000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,23194,1565234000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,25445,1391300000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,30305,756992000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,31107,258857380.0,2023-12-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,31235,1117000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,31462,15320200000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,31791,2750571000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,33002,420109000.0,2024-02-29
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,33185,5265200000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,33213,5044768000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,34067,719188000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,37472,393692000.0,2023-06-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,37996,176191000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,39899,2910930000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,43196,3281000000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,45876,2366187000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,45919,191492000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,46619,2968105000.0,2023-10-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,48287,2434000000.0,2023-12-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,51644,9400600000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,55529,203755000.0,2024-04-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,56679,2795505000.0,2024-04-30
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,59527,4191636000.0,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,CY2023,64040,12497000000.0,2023-12-31
